time psi_dw1,imbalance psi_dw1,time psi_dw2,imbalance psi_dw2
0.0,0.5,0.0,0.5
0.2,0.48529625,0.2,0.48529875
0.4,0.46885625,0.4,0.46894125
0.6,0.45550625,0.6,0.4558325
0.8,0.42836625,0.8,0.42887875
1.0,0.40027625,1.0,0.40097875
1.2,0.37567,1.2,0.37673375
1.4,0.34717,1.4,0.3486
1.6,0.31930375,1.6,0.3211
1.8,0.294345,1.8,0.2966225
2.0,0.2692425,2.0,0.27212875
2.2,0.245255,2.2,0.24886625
2.4,0.22326375,2.4,0.22773625
2.6,0.20197875,2.6,0.20755875
2.8,0.181645,2.8,0.1885825
3.0,0.16258375,3.0,0.1710975
3.2,0.14427,3.2,0.15466625
3.4,0.12673375,3.4,0.13932125
3.6,0.1101245,3.6,0.12515625
3.8,0.0942645,3.8,0.112016375
4.0,0.0791615,4.0,0.09988925
4.2,0.064905875,4.2,0.088798875
4.4,0.05144725,4.4,0.07867025
4.6,0.0387865,4.6,0.069466
4.8,0.026963375,4.8,0.061164875
5.0,0.015952875,5.0,0.053702875
5.2,0.0057357,5.2,0.04702175
5.4,-0.0036922,5.4,0.041074
5.6,-0.0123648375,5.6,0.035794625
5.8,-0.020320375,5.8,0.031119375
6.0,-0.02759025,6.0,0.0269935
6.2,-0.034218125,6.2,0.02335825
6.4,-0.04025025,6.4,0.02015625
6.6,-0.045728,6.6,0.017339125
6.8,-0.05069575,6.8,0.0148605
7.0,-0.055197625,7.0,0.012676375
7.2,-0.059273375,7.2,0.0107502125
7.4,-0.062961375,7.4,0.0090489125
7.6,-0.066298375,7.6,0.007542125
7.8,-0.069316875,7.8,0.0062046625
8.0,-0.072047125,8.0,0.005014825
8.2,-0.074516875,8.2,0.003952925
8.4,-0.076751,8.4,0.0030027375
8.6,-0.0787715,8.6,0.0021505125
8.8,-0.080598875,8.8,0.001384
9.0,-0.082251,9.0,0.00069296875
9.2,-0.08374375,9.2,6.8842875e-05
9.4,-0.085091875,9.4,-0.000496015
9.6,-0.08630825,9.6,-0.00100807125
9.8,-0.08740425,9.8,-0.0014728
10.0,-0.08839025,10.0,-0.0018950875
