time,imbalance gamma=0J,imbalance gamma=0.1J,imbalance gamma=0.5J,imbalance gamma=1J,imbalance gamma=2J,imbalance gamma=5J
0.0,0.5,0.5,0.5,0.5,0.5,0.5
0.01,0.4999500012499847,0.49995003456549114,0.499950167494998,0.4999503329116836,0.4999506612799063,0.4999516270129307
0.02,0.4998000199991074,0.49980028636203144,0.49980134650676117,0.49980265984189964,0.4998052476201073,0.49981271070400385
0.03,0.4995501012398691,0.49955099960850613,0.4995545662861005,0.4995589650571044,0.4995675684652072,0.4995919060003493
0.04,0.4992003199431076,0.4992024478248988,0.49921087488634186,0.499221221670658,0.4992413102999538,0.4992970660402696
0.05,0.4987507810330078,0.4987549336695389,0.49877133856653577,0.4987913910968145,0.4988300400652884,0.4989353156719596
0.06,0.4982016193521297,0.4982087887670885,0.49823704119623424,0.4982714225255618,0.49833720850148,0.4985131182864607
0.07,0.4975529996164653,0.4975643735272994,0.4976090836621045,0.4976632524176302,0.4977661534188431,0.49803633658246826
0.08,0.49680511636054,0.4968220769546832,0.49688858327654456,0.49696880402003335,0.4971201028965908,0.49751028780782713
0.09,0.49595819387257695,0.4959823164491569,0.49607667318850135,0.49618998690149785,0.4964021784104599,0.49693979397374854
0.1,0.49501248611974824,0.4950455375977595,0.4951745017966624,0.4953286965072643,0.4956153978897493,0.49632922749460956
0.11,0.4939682766635387,0.4940122139575467,0.4941832321652185,0.4943868137328125,0.4947626787044834,0.4956825526651503
0.12,0.4928258785652509,0.49288284682975725,0.4931040414423648,0.4933662045166453,0.49384684058345746,0.4950033633505255
0.13,0.4915856342816903,0.49165796502534853,0.4919381202817279,0.4922687194514375,0.49287060846401803,0.49429491723124813
0.14,0.49024791555105446,0.49033812462202103,0.49068667226688234,0.49109619341317884,0.49183661527435857,0.4935601669147416
0.15,0.48881312326908183,0.48892390871282104,0.48935091333912517,0.48985044520788246,0.4907474046492623,0.4928017881966358
0.16,0.4872816873554861,0.48741592714645327,0.48793207122867693,0.4885332772358494,0.48960543358014014,0.4920222057305134
